ShiftKey,LineId,Segment,Cluster,Label,Count,Hours
hu3|2026-06-13|night,hu3,web,End of Reel,1159-5B1 All rolls empty - Please refill!,1,0.11
hu3|2026-06-13|night,hu3,web,End of Reel,1152 End of reel,1,0.11
hu3|2026-06-13|night,hu3,web,End of Reel,1150 End of reel,1,0.07
hu3|2026-06-13|night,hu3,sealing,Printer,1050-2K1 Hot printer A not ready for operation,1,0.08
hu3|2026-06-13|night,hu3,sealing,Sealing Head,1076-2M1 Sealing head B has reached adjusted current limit,1,0.06
hu3|2026-06-13|night,hu3,sealing,Sealing Head,1072-2B1 Limit switch fault Sealing head in working position,1,0.01
hu3|2026-06-13|night,hu3,sealing,Knife,1038-13B1 Limit switch fault Knife top extended,1,0.16
hu3|2026-06-13|night,hu3,pneumatic,Valve on Web,1074 Valve left inserted but not found - Check for valve on web,1,0.02
hu3|2026-06-13|night,hu3,pneumatic,Air Pressure,1A07-1B1 Main air valve basic machine pressure not present,1,0.22
hu3|2026-06-14|day,hu3,handling,Fork,1210-2B1 Limit switch fault Fork A in working position,4,0.24
hu3|2026-06-14|day,hu3,handling,Fork,1211-2B1 Limit switch fault Fork B in working position,4,0.14
hu3|2026-06-14|day,hu3,handling,Gripper,1406-6B1 Valve in pickup position A not present,5,0.09
hu3|2026-06-14|day,hu3,handling,Gripper,1406-6B2 Valve in pickup position B not present,1,0.02
hu3|2026-06-14|day,hu3,web,End of Reel,1150 End of reel,2,0.17
hu3|2026-06-14|day,hu3,web,End of Reel,1156 End of reel,1,0.14
hu3|2026-06-14|day,hu3,web,End of Reel,1155 End of reel,1,0.11
hu3|2026-06-14|day,hu3,web,End of Reel,1153 End of reel,1,0.07
hu3|2026-06-14|day,hu3,web,Splice,1158-6GQ1 Vacuum splice module not present,4,0.36
hu3|2026-06-14|day,hu3,web,Splice,1128-1B1 Last splice has not been detected,1,0.01
hu3|2026-06-14|day,hu3,web,Web Torn,1159-1B1 Web torn,1,0.06
hu3|2026-06-14|day,hu3,web,Web Torn,1156-1B1 Web torn,1,0.01
hu3|2026-06-14|day,hu3,pneumatic,Valve on Web,1074 Valve left out of area - Check for valve on web,1,0.02
hu3|2026-06-14|day,hu3,pneumatic,Valve on Web,1074 Valve right out of area - Check for valve on web,2,0.02
hu3|2026-06-14|day,hu3,pneumatic,Air Pressure,1A07-1B1 Main air valve basic machine pressure not present,2,1.92
hu3|2026-06-14|day,hu3,pneumatic,Cooling,1036-11B1 Flow monitor flow rate not OK,1,0.01
hu3|2026-06-14|day,hu3,sealing,Sealing Head,1152-1M1 unwinder has reached adjusted current limit,1,0.02
hu3|2026-06-14|night,hu3,web,End of Reel,1153 End of reel,2,0.37
hu3|2026-06-14|night,hu3,web,End of Reel,1150 End of reel,2,0.18
hu3|2026-06-14|night,hu3,web,End of Reel,1155 End of reel,1,0.15
hu3|2026-06-14|night,hu3,web,End of Reel,1151 Prewarning end of reel,1,0.15
hu3|2026-06-14|night,hu3,web,End of Reel,1159-5B1 All rolls empty - Please refill!,1,0.12
hu3|2026-06-14|night,hu3,web,Splice,1158-6GQ1 Vacuum splice module not present,1,0.03
hu3|2026-06-14|night,hu3,web,Splice,1159-6GQ1 Vacuum splice module not present,1,0.02
hu3|2026-06-14|night,hu3,web,Splice,1120-1B1 Last splice has not been detected,1,0.01
hu3|2026-06-14|night,hu3,web,Web Torn,1159-1B1 Web torn,1,0.03
hu3|2026-06-14|night,hu3,handling,Gripper,1406-6B2 Valve in pickup position B not present,2,0.03
hu3|2026-06-14|night,hu3,handling,Fork,1210-2B1 Limit switch fault Fork A in working position,6,0.18
hu3|2026-06-14|night,hu3,handling,Fork,1211-2B1 Limit switch fault Fork B in working position,1,0.02
hu3|2026-06-14|night,hu3,handling,Piston,1082-3B1 Limit switch fault Push out piston lowered,1,0.09
hu3|2026-06-14|night,hu3,handling,Piston,1082-5B2 Error vacuum switch push out piston B,1,0.02
hu3|2026-06-14|night,hu3,pneumatic,Air Pressure,1A07-1B1 Main air valve basic machine pressure not present,3,0.97
hu3|2026-06-14|night,hu3,pneumatic,Valve on Web,1074 Valve right out of area - Check for valve on web,2,0.03
hu3|2026-06-15|day,hu3,web,End of Reel,1156 End of reel,1,0.29
hu3|2026-06-15|day,hu3,web,End of Reel,1155 End of reel,2,0.21
hu3|2026-06-15|day,hu3,web,End of Reel,1158-5B1 All rolls empty - Please refill!,2,0.19
hu3|2026-06-15|day,hu3,web,End of Reel,1153 End of reel,1,0.14
hu3|2026-06-15|day,hu3,web,End of Reel,1150 End of reel,2,0.14
hu3|2026-06-15|day,hu3,web,Splice,1158-6GQ1 Vacuum splice module not present,2,0.08
hu3|2026-06-15|day,hu3,web,Splice,1128-1B1 Last splice has not been detected,2,0.01
hu3|2026-06-15|day,hu3,web,Splice,1311-1B1 Last splice has not been detected,1,0.0
hu3|2026-06-15|day,hu3,web,Web Torn,1158-1B1 Web torn,1,0.05
hu3|2026-06-15|day,hu3,pneumatic,Valve on Web,1074 Valve right out of area - Check for valve on web,1,0.02
hu3|2026-06-15|day,hu3,pneumatic,Valve on Web,1074 Valve right inserted but not found - Check for valve on web,1,0.0
hu3|2026-06-15|day,hu3,pneumatic,Air Pressure,1A07-1B1 Main air valve basic machine pressure not present,2,0.25
hu3|2026-06-15|day,hu3,handling,Gripper,1406-6B1 Valve in pickup position A not present,2,0.04
hu3|2026-06-15|day,hu3,handling,Gripper,1406-6B2 Valve in pickup position B not present,2,0.02
hu3|2026-06-15|day,hu3,handling,Fork,1210-2B1 Limit switch fault Fork A in working position,6,0.1
hu3|2026-06-15|day,hu3,handling,Fork,1211-2B1 Limit switch fault Fork B in working position,6,0.09
hu3|2026-06-15|day,hu3,sealing,Knife,1038-13B1 Limit switch fault Knife top extended,1,0.04
hu3|2026-06-15|day,hu3,sealing,Sealing Head,1076-2M1 Sealing head B has reached adjusted current limit,1,1.15
hu3|2026-06-15|day,hu3,sealing,Sealing Head,1072-2B1 Limit switch fault Sealing head in working position,3,0.09
hu3|2026-06-15|day,hu3,sealing,Sealing Head,1410-4B2 Limit switch fault Sealing head A bottom in home position,1,0.01
hu3|2026-06-15|day,hu3,sealing,Printer,1050-2K1 Hot printer A not ready for operation,1,0.08
hu3|2026-06-15|day,hu3,sealing,Printer,1050-3K1 Hot printer B not ready for operation,1,0.06
hu3|2026-06-15|night,hu3,web,Web Torn,1158-1B1 Web torn,1,0.08
hu3|2026-06-15|night,hu3,web,Web Torn,1153-1B1 Web torn,1,0.07
hu3|2026-06-15|night,hu3,web,Web Torn,1090-1B1 Web torn,1,0.04
hu3|2026-06-15|night,hu3,web,Web Torn,1159-1B1 Web torn,1,0.01
hu3|2026-06-15|night,hu3,web,End of Reel,1151 End of reel,1,0.16
hu3|2026-06-15|night,hu3,web,End of Reel,1150 End of reel,2,0.14
hu3|2026-06-15|night,hu3,web,End of Reel,1150 Prewarning end of reel,1,0.12
hu3|2026-06-15|night,hu3,web,End of Reel,1158-5B1 All rolls empty - Please refill!,1,0.12
hu3|2026-06-15|night,hu3,web,End of Reel,1153 End of reel,1,0.09
hu3|2026-06-15|night,hu3,web,Splice,1158-6GQ1 Vacuum splice module not present,2,0.04
hu3|2026-06-15|night,hu3,web,Splice,1159-6GQ1 Vacuum splice module not present,1,0.01
hu3|2026-06-15|night,hu3,web,Splice,1129-1B1 Last splice has not been detected,1,0.01
hu3|2026-06-15|night,hu3,handling,Gripper,1406-6B2 Valve in pickup position B not present,8,0.23
hu3|2026-06-15|night,hu3,handling,Gripper,1406-6B1 Valve in pickup position A not present,1,0.02
hu3|2026-06-15|night,hu3,handling,Fork,1210-2B1 Limit switch fault Fork A in working position,4,0.14
hu3|2026-06-15|night,hu3,handling,Fork,1211-2B1 Limit switch fault Fork B in working position,4,0.14
hu3|2026-06-15|night,hu3,handling,Piston,1082-3B1 Limit switch fault Push out piston lowered,1,0.01
hu3|2026-06-15|night,hu3,handling,Cylinder,1090-2B1 Error Cylinder switch,2,0.14
hu3|2026-06-15|night,hu3,pneumatic,Other,1400-3B2 Infeed valve maximum product level permanently not reached,2,0.02
hu3|2026-06-15|night,hu3,pneumatic,Valve on Web,1074 Valve right out of area - Check for valve on web,3,0.07
hu3|2026-06-15|night,hu3,pneumatic,Air Pressure,1A07-1B1 Main air valve basic machine pressure not present,2,0.15
hu3|2026-06-15|night,hu3,pneumatic,Cooling,1036-11B1 Flow monitor flow rate not OK,1,0.01
hu3|2026-06-16|day,hu3,web,End of Reel,1158-5B1 All rolls empty - Please refill!,2,0.27
hu3|2026-06-16|day,hu3,web,End of Reel,1153 End of reel,1,0.27
hu3|2026-06-16|day,hu3,web,End of Reel,1152 End of reel,1,0.1
hu3|2026-06-16|day,hu3,web,End of Reel,1150 End of reel,2,0.09
hu3|2026-06-16|day,hu3,web,End of Reel,1301-2B1 End of reel,1,0.04
hu3|2026-06-16|day,hu3,web,Web Torn,1150-1B1 Web torn,1,0.09
hu3|2026-06-16|day,hu3,web,Web Torn,1159-1B1 Web torn,1,0.02
hu3|2026-06-16|day,hu3,web,Web Torn,1153-1B1 Web torn,1,0.01
hu3|2026-06-16|day,hu3,web,Splice,1158-6GQ1 Vacuum splice module not present,2,0.04
hu3|2026-06-16|day,hu3,web,Splice,1121-1B1 Last splice has not been detected,1,0.01
hu3|2026-06-16|day,hu3,web,Splice,1128-1B1 Last splice has not been detected,1,0.01
hu3|2026-06-16|day,hu3,pneumatic,Air Pressure,1A07-1B1 Main air valve basic machine pressure not present,5,1.35
hu3|2026-06-16|day,hu3,pneumatic,Valve on Web,1074 Valve right out of area - Check for valve on web,11,0.13
hu3|2026-06-16|day,hu3,pneumatic,Valve on Web,1074 Valve right inserted but not found - Check for valve on web,2,0.02
hu3|2026-06-16|day,hu3,pneumatic,Valve on Web,1074 Valve left inserted but not found - Check for valve on web,1,0.01
hu3|2026-06-16|day,hu3,pneumatic,Other,1400-3B1 Infeed valve maximum product level permanently not reached,1,0.04
hu3|2026-06-16|day,hu3,pneumatic,Other,1400-3B2 Infeed valve maximum product level permanently not reached,1,0.01
hu3|2026-06-16|day,hu3,pneumatic,Cooling,1036-11B1 Flow monitor flow rate not OK,2,0.02
hu3|2026-06-16|day,hu3,pneumatic,Cooling,1054-14B1 Flow monitor flow rate not OK,1,0.01
hu3|2026-06-16|day,hu3,pneumatic,Cooling,1018-17B1 Flow monitor flow rate not OK,1,0.01
hu3|2026-06-16|day,hu3,handling,Piston,1082-5B1 Error vacuum switch push out piston A,1,0.02
hu3|2026-06-16|day,hu3,handling,Piston,1082-5B2 Error vacuum switch push out piston B,2,0.01
hu3|2026-06-16|day,hu3,handling,Fork,1210-2B1 Limit switch fault Fork A in working position,7,0.06
hu3|2026-06-16|day,hu3,handling,Fork,1211-2B1 Limit switch fault Fork B in working position,7,0.05
hu3|2026-06-16|day,hu3,handling,Gripper,1406-6B1 Valve in pickup position A not present,16,0.17
hu3|2026-06-16|day,hu3,handling,Gripper,1406-6B2 Valve in pickup position B not present,10,0.14
hu3|2026-06-16|day,hu3,handling,Cylinder,1158-11B1 Error Cylinder switch,5,0.25
hu3|2026-06-16|day,hu3,sealing,Sealing Head,1076-2M1 Sealing head B has reached adjusted current limit,1,0.01
hu3|2026-06-16|night,hu3,handling,Fork,1210-2B1 Limit switch fault Fork A in working position,6,0.2
hu3|2026-06-16|night,hu3,handling,Fork,1211-2B1 Limit switch fault Fork B in working position,3,0.09
hu3|2026-06-16|night,hu3,handling,Gripper,1406-6B1 Valve in pickup position A not present,8,0.24
hu3|2026-06-16|night,hu3,handling,Gripper,1406-6B2 Valve in pickup position B not present,9,0.2
hu3|2026-06-16|night,hu3,web,Splice,1158-6GQ1 Vacuum splice module not present,2,0.08
hu3|2026-06-16|night,hu3,web,Splice,1129-1B1 Last splice has not been detected,2,0.02
hu3|2026-06-16|night,hu3,web,Splice,1159-6GQ1 Vacuum splice module not present,1,0.01
hu3|2026-06-16|night,hu3,web,End of Reel,1153 End of reel,1,0.12
hu3|2026-06-16|night,hu3,web,End of Reel,1151 End of reel,1,0.11
hu3|2026-06-16|night,hu3,web,End of Reel,1150 End of reel,1,0.07
hu3|2026-06-16|night,hu3,web,End of Reel,1152 End of reel,1,0.06
hu3|2026-06-16|night,hu3,web,Web Torn,1158-1B1 Web torn,2,0.25
hu3|2026-06-16|night,hu3,web,Web Torn,1090-1B1 Web torn,1,0.02
hu3|2026-06-16|night,hu3,pneumatic,Valve on Web,1074 Valve right out of area - Check for valve on web,14,0.24
hu3|2026-06-16|night,hu3,pneumatic,Valve on Web,1074 Valve right inserted but not found - Check for valve on web,4,0.13
hu3|2026-06-16|night,hu3,pneumatic,Valve on Web,1074 Valve left out of area - Check for valve on web,4,0.04
hu3|2026-06-16|night,hu3,pneumatic,Air Pressure,1A07-1B1 Main air valve basic machine pressure not present,2,0.28
hu3|2026-06-16|night,hu3,pneumatic,Cooling,1036-11B1 Flow monitor flow rate not OK,4,0.06
hu3|2026-06-16|night,hu3,pneumatic,Cooling,1054-14B1 Flow monitor flow rate not OK,1,0.01
hu3|2026-06-16|night,hu3,pneumatic,Other,MSM-Valve: At least one station takes longer than the set cycle time allows,1,0.09
hu3|2026-06-16|night,hu3,sealing,Sealing Head,1078-2B1 Limit switch fault Sealing head A in working position,1,0.04
hu3|2026-06-16|night,hu3,sealing,Sealing Head,1151-1M1 unwinder has reached adjusted current limit,1,0.02
hu3|2026-06-16|night,hu3,sealing,Printer,1050-2K1 Hot printer A not ready for operation,1,0.05
hu3|2026-06-17|day,hu3,pneumatic,Valve on Web,1074 Valve right out of area - Check for valve on web,15,0.31
hu3|2026-06-17|day,hu3,pneumatic,Valve on Web,1074 Valve left out of area - Check for valve on web,4,0.06
hu3|2026-06-17|day,hu3,pneumatic,Valve on Web,1074 Valve right inserted but not found - Check for valve on web,1,0.01
hu3|2026-06-17|day,hu3,pneumatic,Air Pressure,1A07-1B1 Main air valve basic machine pressure not present,4,0.49
hu3|2026-06-17|day,hu3,handling,Gripper,1406-6B1 Valve in pickup position A not present,3,0.05
hu3|2026-06-17|day,hu3,handling,Gripper,1406-6B2 Valve in pickup position B not present,2,0.05
hu3|2026-06-17|day,hu3,web,End of Reel,1150 End of reel,1,0.1
hu3|2026-06-17|day,hu3,web,Splice,1158-6GQ1 Vacuum splice module not present,2,0.2
hu3|2026-06-17|day,hu3,web,Splice,1159-6GQ1 Vacuum splice module not present,1,0.01
hu3|2026-06-17|day,hu3,web,Web Torn,1159-1B1 Web torn,1,0.02
hu3|2026-06-17|day,hu3,sealing,Printer,1050-3K1 Hot printer B not ready for operation,1,0.06
hu3|2026-06-17|day,hu3,sealing,Sealing Head,1078-2B3 Limit switch fault Sealing head B in working position,1,0.04
hu3|2026-06-17|night,hu3,pneumatic,Valve on Web,1074 Valve right inserted but not found - Check for valve on web,10,0.15
hu3|2026-06-17|night,hu3,pneumatic,Valve on Web,1074 Valve right out of area - Check for valve on web,8,0.1
hu3|2026-06-17|night,hu3,pneumatic,Valve on Web,1074 Valve left inserted but not found - Check for valve on web,2,0.02
hu3|2026-06-17|night,hu3,pneumatic,Valve on Web,1074 Valve left out of area - Check for valve on web,1,0.01
hu3|2026-06-17|night,hu3,pneumatic,Air Pressure,1A07-1B1 Main air valve basic machine pressure not present,4,0.15
hu3|2026-06-17|night,hu3,pneumatic,Cooling,1036-11B1 Flow monitor flow rate not OK,1,0.03
hu3|2026-06-17|night,hu3,pneumatic,Cooling,1054-14B1 Flow monitor flow rate not OK,1,0.01
hu3|2026-06-17|night,hu3,handling,Gripper,1406-6B1 Valve in pickup position A not present,11,0.38
hu3|2026-06-17|night,hu3,handling,Gripper,1406-6B2 Valve in pickup position B not present,4,0.13
hu3|2026-06-17|night,hu3,handling,Piston,1082-3B1 Limit switch fault Push out piston lowered,2,0.33
hu3|2026-06-17|night,hu3,handling,Piston,1082-3B2 Limit switch fault Push out piston lifted,1,0.07
hu3|2026-06-17|night,hu3,handling,Fork,1211-2B1 Limit switch fault Fork B in working position,1,0.01
hu3|2026-06-17|night,hu3,handling,Cylinder,1159-11B1 Error Cylinder switch,1,0.81
hu3|2026-06-17|night,hu3,web,Web Torn,1159-1B1 Web torn,1,0.03
hu3|2026-06-17|night,hu3,web,Web Torn,1153-1B1 Web torn,1,0.01
hu3|2026-06-17|night,hu3,web,End of Reel,1151 End of reel,1,0.13
hu3|2026-06-17|night,hu3,web,End of Reel,1150 End of reel,1,0.12
hu3|2026-06-17|night,hu3,web,End of Reel,1158-5B1 All rolls empty - Please refill!,1,0.11
hu3|2026-06-17|night,hu3,web,End of Reel,1153 End of reel,1,0.1
hu3|2026-06-17|night,hu3,web,End of Reel,1150 Prewarning end of reel,1,0.08
hu3|2026-06-17|night,hu3,web,Splice,1158-6GQ1 Vacuum splice module not present,2,0.05
hu3|2026-06-17|night,hu3,web,Splice,1159-6GQ1 Vacuum splice module not present,2,0.03
hu3|2026-06-17|night,hu3,web,Splice,1125-1B1 Last splice has not been detected,1,0.01
hu3|2026-06-17|night,hu3,sealing,Sealing Head,1078-2B3 Limit switch fault Sealing head B in working position,1,0.41
hu3|2026-06-17|night,hu3,sealing,Sealing Head,1152-1M1 unwinder has reached adjusted current limit,1,0.39
hu3|2026-06-17|night,hu3,sealing,Sealing Head,1076-2M1 Sealing head B has reached adjusted current limit,2,0.03
hu3|2026-06-17|night,hu3,sealing,Knife,1038-13B1 Limit switch fault Knife top extended,1,0.12
hu3|2026-06-18|day,hu3,pneumatic,Valve on Web,1074 Valve right inserted but not found - Check for valve on web,7,0.22
hu3|2026-06-18|day,hu3,pneumatic,Valve on Web,1074 Valve left inserted but not found - Check for valve on web,2,0.06
hu3|2026-06-18|day,hu3,pneumatic,Valve on Web,1074 Valve left out of area - Check for valve on web,2,0.04
hu3|2026-06-18|day,hu3,pneumatic,Valve on Web,1074 Valve right out of area - Check for valve on web,2,0.01
hu3|2026-06-18|day,hu3,pneumatic,Other,At least one shift register entry has an alarm when writing,1,0.03
hu3|2026-06-18|day,hu3,pneumatic,Air Pressure,1A07-1B1 Main air valve basic machine pressure not present,3,0.11
hu3|2026-06-18|day,hu3,sealing,Sealing Head,1072-2B1 Limit switch fault Sealing head in working position,2,0.07
hu3|2026-06-18|day,hu3,sealing,Sealing Head,1076 Temperature not reached Heating sealing head A,1,0.06
hu3|2026-06-18|day,hu3,sealing,Sealing Head,1410-1B1 Limit switch fault Sealing head A top in working position,1,0.03
hu3|2026-06-18|day,hu3,sealing,Sealing Head,1152-1M1 unwinder has reached adjusted current limit,1,0.02
hu3|2026-06-18|day,hu3,web,Splice,1158-6GQ1 Vacuum splice module not present,2,0.18
hu3|2026-06-18|day,hu3,web,Splice,1125-1B1 Last splice has not been detected,1,0.01
hu3|2026-06-18|day,hu3,web,Splice,1129-1B1 Last splice has not been detected,1,0.01
hu3|2026-06-18|day,hu3,web,Web Torn,1090-1B1 Web torn,4,0.09
hu3|2026-06-18|day,hu3,web,Web Torn,1155-1B1 Web torn,1,0.09
hu3|2026-06-18|day,hu3,web,Web Torn,1159-1B1 Web torn,1,0.01
hu3|2026-06-18|day,hu3,web,End of Reel,1152 Prewarning end of reel,1,1.78
hu3|2026-06-18|day,hu3,handling,Gripper,1406-6B2 Valve in pickup position B not present,2,0.06
hu3|2026-06-18|day,hu3,handling,Gripper,1406-6B1 Valve in pickup position A not present,2,0.03
hu3|2026-06-18|day,hu3,handling,Piston,1082-3B1 Limit switch fault Push out piston lowered,3,0.03
hu3|2026-06-18|day,hu3,handling,Piston,1082-5B2 Error vacuum switch push out piston B,1,0.01
hu3|2026-06-18|night,hu3,pneumatic,Valve on Web,1074 Valve right inserted but not found - Check for valve on web,4,0.15
hu3|2026-06-18|night,hu3,pneumatic,Valve on Web,1074 Valve left inserted but not found - Check for valve on web,1,0.04
hu3|2026-06-18|night,hu3,pneumatic,Cooling,1036-11B1 Flow monitor flow rate not OK,4,0.04
hu3|2026-06-18|night,hu3,pneumatic,Cooling,1054-14B1 Flow monitor flow rate not OK,1,0.01
hu3|2026-06-18|night,hu3,pneumatic,Air Pressure,1A07-1B1 Main air valve basic machine pressure not present,2,0.23
hu3|2026-06-18|night,hu3,sealing,Sealing Head,1036-2B1 Limit switch fault Sealing head A in working position,1,0.03
hu3|2026-06-18|night,hu3,sealing,Printer,1050-2K1 Hot printer A not ready for operation,1,0.08
hu3|2026-06-18|night,hu3,web,End of Reel,1150 End of reel,2,0.21
hu3|2026-06-18|night,hu3,web,End of Reel,1151 End of reel,1,0.15
hu3|2026-06-18|night,hu3,web,End of Reel,1158-5B1 All rolls empty - Please refill!,1,0.11
hu3|2026-06-18|night,hu3,web,End of Reel,1153 End of reel,1,0.07
hu3|2026-06-18|night,hu3,web,End of Reel,1152 End of reel,1,0.06
hu3|2026-06-18|night,hu3,web,Web Torn,1158-1B1 Web torn,1,0.08
hu3|2026-06-18|night,hu3,web,Splice,1158-6GQ1 Vacuum splice module not present,2,0.11
hu3|2026-06-18|night,hu3,handling,Gripper,1406-6B1 Valve in pickup position A not present,3,0.1
hu3|2026-06-18|night,hu3,handling,Gripper,1406-6B2 Valve in pickup position B not present,2,0.02
hu3|2026-06-18|night,hu3,handling,Cylinder,1159-11B1 Error Cylinder switch,1,0.06
hu3|2026-06-19|day,hu3,handling,Cylinder,1090-2B1 Error Cylinder switch,2,0.37
hu3|2026-06-19|day,hu3,handling,Gripper,1406-6B1 Valve in pickup position A not present,2,0.11
hu3|2026-06-19|day,hu3,handling,Gripper,1406-6B2 Valve in pickup position B not present,2,0.1
hu3|2026-06-19|day,hu3,handling,Piston,1082-5B1 Error vacuum switch push out piston A,1,0.01
hu3|2026-06-19|day,hu3,web,End of Reel,1152 End of reel,1,0.26
hu3|2026-06-19|day,hu3,web,End of Reel,1150 End of reel,1,0.15
hu3|2026-06-19|day,hu3,web,End of Reel,1153 End of reel,1,0.11
hu3|2026-06-19|day,hu3,web,End of Reel,1158-5B1 All rolls empty - Please refill!,1,0.1
hu3|2026-06-19|day,hu3,web,End of Reel,1159-5B1 All rolls empty - Please refill!,1,0.06
hu3|2026-06-19|day,hu3,web,Web Torn,1158-1B1 Web torn,1,0.04
hu3|2026-06-19|day,hu3,web,Web Torn,1159-1B1 Web torn,1,0.01
hu3|2026-06-19|day,hu3,web,Splice,1129-1B1 Last splice has not been detected,1,0.04
hu3|2026-06-19|day,hu3,web,Splice,1158-6GQ1 Vacuum splice module not present,1,0.01
hu3|2026-06-19|day,hu3,pneumatic,Valve on Web,1074 Valve left inserted but not found - Check for valve on web,1,0.01
hu3|2026-06-19|day,hu3,pneumatic,Valve on Web,1074 Valve right inserted but not found - Check for valve on web,1,0.01
hu3|2026-06-19|day,hu3,pneumatic,Air Pressure,1A07-1B1 Main air valve basic machine pressure not present,3,0.09
hu3|2026-06-19|day,hu3,sealing,Sealing Head,1078-2B3 Limit switch fault Sealing head B in working position,2,0.45
hu3|2026-06-19|night,hu3,web,End of Reel,1151 Prewarning end of reel,2,0.24
hu3|2026-06-19|night,hu3,web,End of Reel,1150 End of reel,2,0.18
hu3|2026-06-19|night,hu3,web,End of Reel,1158-5B1 All rolls empty - Please refill!,1,0.14
hu3|2026-06-19|night,hu3,web,End of Reel,1153 End of reel,1,0.12
hu3|2026-06-19|night,hu3,web,End of Reel,1152 End of reel,1,0.11
hu3|2026-06-19|night,hu3,web,Web Torn,1159-1B1 Web torn,1,0.07
hu3|2026-06-19|night,hu3,web,Web Torn,1158-1B1 Web torn,1,0.06
hu3|2026-06-19|night,hu3,web,Splice,1158-6GQ1 Vacuum splice module not present,2,0.04
hu3|2026-06-19|night,hu3,web,Splice,1128-1B1 Last splice has not been detected,1,0.01
hu3|2026-06-19|night,hu3,pneumatic,Cooling,1036-11B1 Flow monitor flow rate not OK,2,0.05
hu3|2026-06-19|night,hu3,pneumatic,Cooling,1018-17B1 Flow monitor flow rate not OK,1,0.01
hu3|2026-06-19|night,hu3,pneumatic,Valve on Web,1074 Valve right inserted but not found - Check for valve on web,2,0.04
hu3|2026-06-19|night,hu3,handling,Cylinder,1090-2B1 Error Cylinder switch,1,0.13
hu3|2026-06-19|night,hu3,handling,Gripper,1406-6B2 Valve in pickup position B not present,14,0.36
hu3|2026-06-19|night,hu3,handling,Gripper,1406-6B1 Valve in pickup position A not present,6,0.15
